Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"Comanche St, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.2883612,-97.7263575,81,93,65
"Concho St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.269047,-97.7231089,91,91,47
"Concordia Ave, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.2927564,-97.7206481,77,89,57
"Concordia Ave, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2920276,-97.7190931,76,83,56
"Maggie Mayes St, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2788501,-97.7621558,82,89,43
"Congress Ave., Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2718005,-97.7414332,92,91,68
"Connelly St, Austin, TX 78751, USA",North Loop,Austin,Travis County,78751,30.3043147,-97.7148099,82,80,51
"Copeland St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2535099,-97.7535646,77,83,58
"Cornell St, Austin, TX 78702, USA",Blackshear-Prospect Hill,Austin,Travis County,78702,30.268404,-97.718164,85,83,48
"Coronado St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2619914,-97.7141931,91,92,48
"Corta St, Austin, TX 78702, USA",Holly,Austin,Travis County,78702,30.2565493,-97.717925,87,95,48
"Cotton St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2714561,-97.7257033,85,94,48
"Covey Ct, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3641836,-97.711674,72,84,43
"Crawford St, Austin, TX 78731, USA",UnknownHood,Austin,Travis County,78731,30.3071853,-97.7494384,90,84,50
"Crescent Dr, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2942773,-97.7108565,74,76,49
"Crest Ave, Austin, TX 78702, USA",Rosewood,Austin,Travis County,78702,30.2737149,-97.7031516,73,79,48
"Crestmont Dr, Austin, TX 78756, USA",Rosedale,Austin,Travis County,78756,30.3227789,-97.742639,78,86,50
"Crestwood Rd, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2993591,-97.713024,76,74,49
"Crockett St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2438166,-97.7541278,96,87,52
"Cross St, Austin, TX 78702, USA",East Cesar Chavez,Austin,Travis County,78702,30.2565225,-97.7323785,83,96,48
"Cullen Ave, Austin, TX 78757, USA",Crestview,Austin,Travis County,78757,30.3436433,-97.7305359,74,85,51
"Cummings St, Austin, TX 78701, USA",Rainey Street Historic District,Austin,Travis County,78701,30.2556096,-97.7394157,80,84,57
"Curtis Ave, Austin, TX 78722, USA",East Austin,Austin,Travis County,78722,30.2844452,-97.7122912,84,85,51
"Curve St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2708548,-97.7296456,83,81,56
"Dale Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3529995,-97.7193167,71,80,52
